"","subjectid","gender","height","weight","handedness","age","race"
"1",14381,"male",175,70.9,"right",21,"white"
"2",16558,"female",170,74.4,"right",22,"black"
"3",25891,"female",167.3,62.5,"right",41,"black"
"4",29026,"female",162.6,50.8,"right",32,"white"
"5",12057,"male",175.9,62.1,"right",22,"white"
"6",11848,"male",172.6,83.4,"left",31,"black"
"7",16061,"female",166.5,69,"right",26,"white"
"8",14067,"male",174.3,89.4,"right",21,"white"
"9",18163,"female",167.6,60.6,"right",18,"black"
"10",13046,"male",177.7,75.9,"right",24,"white"
"11",26074,"female",157.6,52.9,"right",21,"black"
"12",25942,"female",165.3,91.9,"right",25,"white"
"13",23690,"male",172.2,80.8,"right",27,"white"
"14",28425,"male",179.3,85.1,"right",24,"asian"
"15",24489,"male",175.5,75.4,"right",20,"hispanic"
"16",18001,"female",161.7,59,"right",38,"black"
"17",27544,"male",181.4,88.6,"right",34,"white"
"18",27976,"male",185.5,83.4,"right",30,"white"
"19",22041,"female",172,64.4,"left",28,"asian"
"20",18346,"female",158.2,82.7,"right",45,"hispanic"
"21",29502,"female",161.3,71.7,"right",40,"hispanic"
"22",16522,"female",158.9,68.6,"right",29,"white"
"23",27739,"male",174.4,89.3,"right",58,"white"
"24",29330,"male",171,103.6,"right",21,"white"
"25",29296,"female",177.4,79,"right",28,"white"
"26",12960,"male",174.5,89.7,"left",45,"white"
"27",20699,"female",159.7,76.6,"right",41,"black"
"28",14969,"male",173.8,92.7,"right",51,"white"
"29",20171,"male",175.7,89,"right",22,"black"
"30",26003,"female",150.1,58.8,"right",23,"black"
"31",16140,"female",170.4,85.3,"right",22,"white"
"32",17206,"male",177.2,60.9,"right",19,"white"
"33",12587,"male",180.3,101.8,"right",40,"white"
"34",27505,"male",173,84.6,"right",54,"white"
"35",28290,"female",159.5,77.2,"right",42,"black"
"36",23845,"female",163.9,86.2,"right",28,"hispanic"
"37",11510,"female",163.4,62.7,"right",26,"white"
"38",12727,"male",174,86.2,"left",26,"white"
"39",12311,"male",173.8,68.4,"right",19,"white"
"40",28709,"male",164.3,67.5,"right",39,"hispanic"
"41",23337,"male",177,88.4,"right",25,"white"
"42",14762,"male",182.9,106.1,"right",46,"white"
"43",12060,"male",164,81.9,"right",28,"hispanic"
"44",29175,"male",170.3,83.6,"right",33,"white"
"45",28262,"female",176.1,78.5,"right",36,"black"
"46",27600,"male",168.5,65.4,"right",35,"black"
"47",14036,"male",179.4,78.2,"left",22,"white"
"48",26154,"male",172.2,76.4,"right",21,"white"
"49",15275,"male",185.5,85.8,"right",25,"white"
"50",12506,"male",176.3,90.7,"right",38,"asian"
"51",25778,"female",175.2,85.3,"right",27,"white"
"52",16818,"male",181.2,81.3,"right",21,"white"
"53",17857,"female",167.5,73.8,"either",38,"white"
"54",27803,"male",172.7,80,"right",23,"asian"
"55",24227,"male",180.2,64,"right",25,"black"
"56",20626,"male",185.6,130.1,"right",27,"black"
"57",18501,"female",163.6,58.3,"right",20,"white"
"58",28242,"female",177.1,83.3,"right",25,"white"
"59",27119,"male",181.2,80.1,"left",24,"white"
"60",14912,"male",171.3,81.8,"left",41,"white"
"61",17817,"female",159.7,54.7,"right",45,"black"
"62",28570,"female",169.2,82.5,"right",20,"black"
"63",23408,"male",184,76,"right",19,"white"
"64",28067,"male",185.1,111.6,"right",51,"black"
"65",27962,"male",179,96.7,"right",37,"white"
"66",27254,"male",178.4,76.9,"right",51,"white"
"67",11803,"female",153.6,67.8,"right",25,"white"
"68",18261,"female",162.3,62.1,"right",26,"white"
"69",12359,"male",177.2,94.2,"right",24,"white"
"70",15427,"male",169.4,75.4,"right",36,"black"
"71",24459,"male",175.2,75.3,"right",20,"white"
"72",29264,"male",179.9,91.7,"right",20,"white"
"73",28198,"male",177,69,"left",24,"black"
"74",18467,"female",159,74,"right",21,"white"
"75",29070,"female",173.2,84.2,"right",43,"white"
"76",13684,"male",175.4,101.4,"right",50,"white"
"77",26766,"male",178.1,76.5,"either",20,"white"
"78",11431,"male",174.5,101.6,"right",22,"white"
"79",25963,"female",153.4,56.8,"right",27,"hispanic"
"80",11244,"male",181,81.3,"right",31,"white"
"81",26188,"male",166.8,56.7,"left",19,"black"
"82",17025,"male",171.7,91.9,"right",23,"hispanic"
"83",21718,"female",166.6,70.6,"right",29,"black"
"84",13797,"male",178.1,94.5,"right",50,"white"
"85",16943,"male",170,89.3,"right",54,"white"
"86",20745,"male",168.5,82.9,"right",33,"white"
"87",20679,"female",167.2,75.6,"right",25,"white"
"88",24671,"male",170.4,74.3,"right",23,"white"
"89",27889,"male",167.7,60.3,"right",24,"black"
"90",25318,"female",162.8,69.5,"right",21,"hispanic"
"91",22142,"male",169.4,91.9,"right",47,"white"
"92",28502,"female",164.2,69.7,"right",24,"white"
"93",17643,"female",158.4,72.2,"right",25,"hispanic"
"94",15123,"male",175.8,91,"left",40,"white"
"95",25632,"female",161.4,52.9,"right",28,"white"
"96",27876,"male",164,95.8,"left",38,"white"
"97",14329,"male",175.8,82.4,"right",21,"white"
"98",14409,"male",173.5,57.9,"right",29,"white"
"99",12783,"male",172.3,100.9,"right",29,"white"
"100",29147,"male",164.5,75.7,"right",44,"white"
